Product Name,Price,Product Link
UniBond UniBond Bath & Kitchen Sealant Easy Pulse White,"now
£7.50",https://groceries.asda.com/product/fillers-sealants/uni-bond-uni-bond-bath-kitchen-sealant-easy-pulse-white/1000258774995
ASDA Organic Chickpeas in Water,"now
£1.10",https://groceries.asda.com/product/tinned-pulses-lentils/asda-organic-chickpeas-in-water/56201470
ASDA Giant Cous Cous 300g,"now
£1.60",https://groceries.asda.com/product/dried-pulses-lentils-couscous/asda-giant-cous-cous-300-g/910002532128
ASDA Quinoa 300g,"now
£2.80",https://groceries.asda.com/product/dried-pulses-lentils-couscous/asda-quinoa-300-g/910001794224
Laila Kala Chana 2kg,"now
£3.00",https://groceries.asda.com/product/asian-lentils-pulses/laila-kala-chana-2-kg/1000383190270
The Gym Kitchen Barbeque Lentils 250g,"now
£1.43",https://groceries.asda.com/product/brown-rice-quinoa-grains/the-gym-kitchen-barbeque-lentils-250-g/1000378540230
Satonoyuki J-Basket Tofu 300g,"now
£1.90",https://groceries.asda.com/product/tinned-pulses-lentils/satonoyuki-j-basket-tofu-300-g/1000137048621
ASDA Organic Red Kidney Beans in Water,"now
£1.10",https://groceries.asda.com/product/tinned-pulses-lentils/asda-organic-red-kidney-beans-in-water/56201469
The Gym Kitchen Piri Piri Grains 250g,"now
£1.43",https://groceries.asda.com/product/brown-rice-quinoa-grains/the-gym-kitchen-piri-piri-grains-250-g/1000378540240
ASDA Chilli Beans in Chilli Sauce 390g,"now
£0.88",https://groceries.asda.com/product/tinned-pulses-lentils/asda-chilli-beans-in-chilli-sauce-390-g/1000021353823
Napolina Butter Beans in Water,"now
£0.98",https://groceries.asda.com/product/tinned-pulses-lentils/napolina-butter-beans-in-water/910003238371
ASDA Red & White Quinoa 300g,"now
£3.00",https://groceries.asda.com/product/dried-pulses-lentils-couscous/asda-red-white-quinoa-300-g/910002531985
Napolina Spicy Bean Salad in Spicy Tomato Sauce 400g,"now
£0.98",https://groceries.asda.com/product/tinned-pulses-lentils/napolina-spicy-bean-salad-in-spicy-tomato-sauce-400-g/1000383234497
Laila Black Eye Beans 2kg,"now
£3.99",https://groceries.asda.com/product/asian-lentils-pulses/laila-black-eye-beans-2-kg/1000383190242
ASDA Broad Beans in Water,"now
£0.75",https://groceries.asda.com/product/tinned-pulses-lentils/asda-broad-beans-in-water/910001764282
Laila Mung Daal 500g,"now
£1.39",https://groceries.asda.com/product/asian-lentils-pulses/laila-mung-daal-500-g/1000383190263
Indus Kala Chana Black Chick Peas 1kg,"now
£2.50",https://groceries.asda.com/product/asian-lentils-pulses/indus-kala-chana-black-chick-peas-1-kg/1000383156995
Laila Whole Moong Beans 500g,"now
£1.50",https://groceries.asda.com/product/asian-lentils-pulses/laila-whole-moong-beans-500-g/1000383190321
ASDA Whole Cucumber,"now
£0.89",https://groceries.asda.com/product/lettuce-cucumber/asda-whole-cucumber/43966703
ASDA Creamy & Nutty Avocados,"now
£1.49",https://groceries.asda.com/product/view-all-salads-stir-fry/asda-creamy-nutty-avocados/32811
ASDA Aubergine,"now
£0.95",https://groceries.asda.com/product/courgettes-aubergines-squash/asda-aubergine/910003089043
